/home/johnny/projects/swissknife/bash/bashrc
date,command,observations
Sun Oct 21 19:21:20 -05 2018,rm ~/.bashrc,remover anterior bashrc
Sun Oct 21 19:22:05 -05 2018,ln -s `pwd`/bashrc ~/.bashrc,Enlace simbólico creado para configuración bash
Thu 26 Sep 2019 04:34:43 PM -05,dircolors -b >> dircolors,Colores para los elementos listados con ls
Thu 26 Sep 2019 04:47:01 PM -05,rm ~/.bashrc ~/.bash_aliases ~/.dircolors,remover archivos para construir los enlaces simbólicos
mié mar 11 15:50:11 -05 2020,cd ~/gitPackages/,directorio destino para instalación de dircolor
mié mar 11 15:50:38 -05 2020,git clone https://github.com/seebi/dircolors-solarized.git,clonar repositorio en gitPackages
