/home/johnny/projects/swissknife/flatpak
date,command,observations
Thu Sep 13 10:31:52 -05 2018,sudo ln -s /home/johnny/projects/swissknife/flatpak/gimp.sh /usr/local/bin/gimp, agregar gimp al directorio de ejecución bin
Thu Sep 13 11:44:28 -05 2018,sudo ln -s /home/johnny/projects/swissknife/flatpak/gimp.desktop /usr/share/applications/, agregar gimp al menú
